21.6	365.78	20.65
32.4	211.18	11.97
40.4	127.18	7.22
48.4	70.42	4.03
56.3	33.39	2
64.1	18.46	1.14
79.6	17.79	1.13
94.8	30.22	1.79
109.6	33.87	2.01
124.1	24.23	1.43
138.4	13.5	0.84
152.4	15.07	0.91
