16.7644	4.09611	403.594	7.55789
29.7691	2.91209	251.926	5.02344
45.2761	2.39146	81.441	3.74016
62.3532	2.21721	17.6973	0.762652
94.6859	1.71435	23.0233	0.998833
110.338	1.58145	27.045	0.848116
125.246	1.48808	19.6936	0.887586
139.783	1.5004	11.9799	0.795883
153.999	1.59794	14.7543	1.10687
19.6971	3.80995	363.993	5.30446
33.4922	2.96319	185.634	3.95145
49.0929	2.6143	55.8798	3.28531
66.2309	2.40094	16.3713	0.81462
97.8139	1.90356	25.5014	0.836563
113.066	1.71933	25.896	0.886274
127.695	1.61779	17.2172	1.03118
142.137	1.60106	11.343	0.85597
156.167	1.65826	16.5652	0.902839
26.3022	3.27039	324.117	5.52061
40.6645	2.73837	135.327	3.71696
56.5212	2.5651	31.8882	0.936826
72.8663	2.25256	16.2091	0.990489
103.182	1.90022	27.7128	1.03557
117.872	1.77785	25.9879	1.08359
132.096	1.69206	18.9151	1.02614
146.381	1.75128	13.0374	0.946386
159.952	1.88292	20.4006	1.09715
19.1746	3.93576	467.088	9.01431
32.0956	3.06054	250.883	5.93381
46.7199	2.719	87.3055	4.27706
62.8687	2.56347	20.3073	0.9151
78.2881	2.22542	17.2521	0.949027
107.731	1.91577	26.6114	1.12382
121.955	1.77333	24.5605	1.07916
135.91	1.75501	16.2783	1.19837
150.031	1.77127	14.1409	1.15174
163.108	1.97247	21.7355	1.11292
23.4204	3.56285	399.415	9.5478
37.0293	2.92986	172.653	4.92126
51.9115	2.72853	44.4944	1.13527
67.9294	2.48804	18.5505	0.845028
82.7102	2.23092	20.9912	1.05686
111.387	1.89469	25.1162	1.04473
125.264	1.78098	20.761	1.02824
139.053	1.76512	12.9636	1.02292
152.875	1.76591	15.9291	1.06263
165.506	2.03819	23.9262	1.20262
28.9381	3.27056	310.816	5.62703
42.9939	2.86711	117.1	4.56202
58.3702	2.75659	28.4359	0.897517
73.7442	2.44627	16.6238	1.07834
88.0326	2.24132	23.9253	0.965366
115.866	1.91192	24.1048	1.00839
129.404	1.81444	18.4009	1.16181
143.02	1.79403	15.0623	1.08133
156.451	1.77667	21.8158	1.40298
168.426	2.25828	23.7592	1.11892
36.0796	2.80509	208.68	4.93692
50.5434	2.61462	64.5639	3.98356
65.9729	2.45409	17.2552	1.02652
80.3872	2.20676	19.4933	0.949153
94.214	2.07463	23.168	1.06532
121.127	1.83559	22.2715	1.36482
134.345	1.80339	14.4137	0.819427
147.742	1.787	10.9861	1.01534
160.578	1.87331	17.5549	1.22685
40.4723	2.73111	133.502	4.9408
55.1908	2.56932	40.5448	3.71097
70.3633	2.26487	14.8982	0.982844
84.3109	2.09026	20.855	0.924918
97.9135	1.93603	26.239	1.29828
124.189	1.70729	17.4849	1.18431
137.165	1.66363	11.4133	1.10597
150.324	1.62866	13.2711	1.18943
162.7	1.78004	18.472	1.22617
